annee,regime,indicateur,valeur,unite,denominateur,source,note
2005,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2006,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2007,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2008,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2009,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2010,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2011,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2012,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2013,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2014,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2015,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2016,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2017,salariés agricoles (RSA),taux légal de la branche pensions,0.0525,taux,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours),"loi n° 81-6 du 12 février 1981, art. 18, JORT n° 9 du 13 février 1981, p. 267 (https://www.pist.tn/jort/1981/1981F/Jo00981.pdf), lu à l'image ; décret n° 81-224 (5,25 % pour les pensions)","en vigueur depuis le 1er janvier 1981 (loi n° 81-6, art. 88 ; décret n° 81-224, art. 4) ; constant sur 2000-2017 d'après les textes ; publié par la caisse pour 2013 et 2017 seulement (annuaire 2013 p. 340, 2017 p. 346)"
2000,"salariés agricoles, régime amélioré (RSAA)",actifs,67451.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2001,"salariés agricoles, régime amélioré (RSAA)",actifs,71460.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2002,"salariés agricoles, régime amélioré (RSAA)",actifs,75073.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2003,"salariés agricoles, régime amélioré (RSAA)",actifs,80928.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2004,"salariés agricoles, régime amélioré (RSAA)",actifs,86709.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2005,"salariés agricoles, régime amélioré (RSAA)",actifs,92512.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2006,"salariés agricoles, régime amélioré (RSAA)",actifs,99304.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2007,"salariés agricoles, régime amélioré (RSAA)",actifs,108464.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2008,"salariés agricoles, régime amélioré (RSAA)",actifs,117752.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2009,"salariés agricoles, régime amélioré (RSAA)",actifs,124502.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2010,"salariés agricoles, régime amélioré (RSAA)",actifs,133174.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2011,"salariés agricoles, régime amélioré (RSAA)",actifs,140065.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2012,"salariés agricoles, régime amélioré (RSAA)",actifs,145025.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2013,"salariés agricoles, régime amélioré (RSAA)",actifs,150513.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2014,"salariés agricoles, régime amélioré (RSAA)",actifs,155397.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2015,"salariés agricoles, régime amélioré (RSAA)",actifs,165923.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2016,"salariés agricoles, régime amélioré (RSAA)",actifs,170199.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2017,"salariés agricoles, régime amélioré (RSAA)",actifs,175078.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",
2000,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),44.919608,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2001,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),47.026077,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2002,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),47.742387,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2003,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),51.281169,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2004,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),58.321396,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2005,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),61.734927,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2006,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),65.547598,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2007,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),71.567958,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2008,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),80.133036,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2009,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),87.582839,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2010,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),95.787562,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2011,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),112.755566,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2012,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),124.487858,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2013,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),140.589241,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2014,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),147.209806,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2015,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),159.381949,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2016,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),163.13031,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2017,"salariés agricoles, régime amélioré (RSAA)",assiette (dénominateur),177.504228,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 127)","salaires réels déclarés par les employeurs, non les cotisations encaissées"
2000,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,19.78,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2001,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,27.03,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2002,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,27.44,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2003,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,28.15,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2004,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,30.33,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2005,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,33.98,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2006,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,36.58,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2007,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,39.49,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2008,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,42.39,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2009,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,45.79,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2010,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,50.5,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2011,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,56.42,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2012,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,63.41,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2013,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,73.91,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2014,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,79.39,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2015,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,86.43,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2016,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,90.11,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2017,"salariés agricoles, régime amélioré (RSAA)",pension moyenne mensuelle,92.54,dinars par mois,masse salariale déclarée,calcul,numérateur ÷ pensionnés ÷ 12
2000,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",4727.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2001,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",5762.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2002,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",6325.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2003,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",6786.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2004,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",7228.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2005,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",7672.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2006,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",8177.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2007,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",8704.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2008,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",9197.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2009,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",9758.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2010,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",10051.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2011,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",10531.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2012,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",11402.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2013,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",12038.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2014,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",12866.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2015,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",13625.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2016,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",15222.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2017,"salariés agricoles, régime amélioré (RSAA)","pensionnés, toutes natures",16903.0,personnes,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)",orphelins compris ; fin d'année
2000,"salariés agricoles, régime amélioré (RSAA)",pensions servies (numérateur),1.122,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2001,"salariés agricoles, régime amélioré (RSAA)",pensions servies (numérateur),1.869,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2002,"salariés agricoles, régime amélioré (RSAA)",pensions servies (numérateur),2.083,millions de dinars,masse salariale déclarée,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 138)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
