annee,regime,indicateur,valeur,unite,denominateur,source,note
2006,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.461815,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2005-2320, JORT n° 68 du 26 août 2005, p. 2319 (https://www.pist.tn/jort/2005/2005F/Jo0682005.pdf) ; somme des classes 87 pour 87 actifs"
2007,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.57913,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2006-2098, JORT n° 62 du 4 août 2006, p. 2112 (https://www.pist.tn/jort/2006/2006F/Jo0622006.pdf) ; somme des classes 105 pour 105 actifs"
2008,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.653059,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2007-2079, JORT n° 67 du 21 août 2007, p. 2909 (https://www.pist.tn/jort/2007/2007F/Jo0672007.pdf) ; somme des classes 114 pour 114 actifs"
2009,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.011427,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2008-2072, JORT n° 46 du 6 juin 2008, p. 1736 (https://www.pist.tn/jort/2008/2008F/Jo0462008.pdf) ; somme des classes 168 pour 168 actifs"
2010,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.321664,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2009-2257, JORT n° 62 du 4 août 2009, p. 2139 (https://www.pist.tn/jort/2009/2009F/Jo0622009.pdf) ; somme des classes 213 pour 213 actifs"
2011,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.386504,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2010-1746, JORT n° 58 du 20 juillet 2010, p. 1997 (https://www.pist.tn/jort/2010/2010F/Jo0582010.pdf) ; somme des classes 213 pour 213 actifs"
2012,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.4421,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2011-679, JORT n° 42 du 10 juin 2011, p. 901 (https://www.pist.tn/jort/2011/2011F/Jo0422011.pdf) ; somme des classes 211 pour 211 actifs"
2013,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.680258,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2012-1981, JORT n° 77 du 28 septembre 2012, p. 2271 (https://www.pist.tn/jort/2012/2012F/Jo0772012.pdf) ; somme des classes 233 pour 233 actifs"
2014,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.777765,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2012-1981, JORT n° 77 du 28 septembre 2012, p. 2271 (https://www.pist.tn/jort/2012/2012F/Jo0772012.pdf) ; somme des classes 237 pour 237 actifs"
2015,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),2.074454,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2014-2907, JORT n° 66 du 15 août 2014, p. 2062 (https://www.pist.tn/jort/2014/2014F/Jo0662014.pdf) ; somme des classes 261 pour 261 actifs"
2016,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),2.4336,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret gouvernemental n° 2015-1762, JORT n° 91 du 13 novembre 2015, p. 2709 (https://www.pist.tn/jort/2015/2015F/Jo0912015.pdf) ; somme des classes 288 pour 288 actifs"
2017,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),2.742392,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret gouvernemental n° 2017-668 du 5 juin 2017 (effet rétroactif), JORT n° 45 du 6 juin 2017, éd. arabe p. 1877 (https://www.pist.tn/jort/2017/2017A/Ja0452017.pdf ; l'adresse de l'édition française sert le fascicule arabe) ; somme des classes 309 pour 309 actifs"
2004,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.314815,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2005,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.22549,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2006,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.051724,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2007,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.066667,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2008,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.070175,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2009,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.071429,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2010,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.06338,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2011,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.070423,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2012,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.07109,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2013,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.070815,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2014,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.154008,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2015,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.153257,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2016,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.166667,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2017,"artistes, créateurs et intellectuels (RACI)",coefficient moyen de classe,2.153722,multiple du SMIG,,calcul,Σ assurés × coefficient ÷ assurés
2004,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,165.37,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2005,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,164.87,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2006,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,163.46,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2007,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,164.73,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2008,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,170.57,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2009,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,168.86,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2010,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,170.9,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2011,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,169.98,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2012,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,170.75,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2013,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,173.04,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2014,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,234.4,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2015,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,236.72,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2016,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,237.78,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2017,"artistes, créateurs et intellectuels (RACI)",pension moyenne mensuelle,253.89,dinars par mois,Σ classes × coefficient × SMIG 48 h × 2 400 h,calcul,numérateur ÷ pensionnés ÷ 12
2004,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",129.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2005,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",139.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
