annee,indicateur,valeur,unite,source,note
2016,masse salariale déclarée (dénominateur),12227.254442,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 1 (p. 23)","salaires déclarés par les employeurs, non les cotisations encaissées"
2017,masse salariale déclarée (dénominateur),13594.540006,millions de dinars,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 1 (p. 23)","salaires déclarés par les employeurs, non les cotisations encaissées"
2000,pension moyenne mensuelle,144.65,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2001,pension moyenne mensuelle,147.74,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2002,pension moyenne mensuelle,155.87,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2003,pension moyenne mensuelle,164.64,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2004,pension moyenne mensuelle,176.26,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2005,pension moyenne mensuelle,185.99,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2006,pension moyenne mensuelle,198.47,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2007,pension moyenne mensuelle,209.22,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2008,pension moyenne mensuelle,224.69,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2009,pension moyenne mensuelle,234.31,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2010,pension moyenne mensuelle,252.62,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2011,pension moyenne mensuelle,279.15,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2012,pension moyenne mensuelle,286.69,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2013,pension moyenne mensuelle,300.5,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2014,pension moyenne mensuelle,318.84,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2015,pension moyenne mensuelle,346.28,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2016,pension moyenne mensuelle,355.39,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2017,pension moyenne mensuelle,365.9,dinars par mois,calcul,numérateur ÷ pensionnés de toutes natures ÷ 12
2000,"pensionnés, toutes natures",216702.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",orphelins compris ; effectif du régime complémentaire compris
