annee,indicateur,valeur,unite,source,note
2003,"taux d'équilibre, avec régime complémentaire",0.15594961,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2004,"taux d'équilibre, avec régime complémentaire",0.16334122,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2005,"taux d'équilibre, avec régime complémentaire",0.1697145,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2006,"taux d'équilibre, avec régime complémentaire",0.16670395,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2007,"taux d'équilibre, avec régime complémentaire",0.16830254,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2008,"taux d'équilibre, avec régime complémentaire",0.1688199,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2009,"taux d'équilibre, avec régime complémentaire",0.16437001,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2010,"taux d'équilibre, avec régime complémentaire",0.16403238,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2011,"taux d'équilibre, avec régime complémentaire",0.16817932,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2012,"taux d'équilibre, avec régime complémentaire",0.16959984,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2013,"taux d'équilibre, avec régime complémentaire",0.16675038,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2014,"taux d'équilibre, avec régime complémentaire",0.17432946,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2015,"taux d'équilibre, avec régime complémentaire",0.18416649,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2016,"taux d'équilibre, avec régime complémentaire",0.18992334,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2017,"taux d'équilibre, avec régime complémentaire",0.18875872,taux,"calcul ; CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 29 (p. 51)","indicateur à part : le régime complémentaire, facultatif, est assis sur la tranche au-delà de six SMIG, alors que le dénominateur couvre tous les salaires déclarés"
2000,taux de remplacement apparent,0.501243,taux,calcul,pension moyenne ÷ salaire moyen
2001,taux de remplacement apparent,0.48340671,taux,calcul,pension moyenne ÷ salaire moyen
2002,taux de remplacement apparent,0.48576357,taux,calcul,pension moyenne ÷ salaire moyen
2003,taux de remplacement apparent,0.47761794,taux,calcul,pension moyenne ÷ salaire moyen
2004,taux de remplacement apparent,0.48487662,taux,calcul,pension moyenne ÷ salaire moyen
2005,taux de remplacement apparent,0.49011773,taux,calcul,pension moyenne ÷ salaire moyen
2006,taux de remplacement apparent,0.48137928,taux,calcul,pension moyenne ÷ salaire moyen
2007,taux de remplacement apparent,0.48430394,taux,calcul,pension moyenne ÷ salaire moyen
2008,taux de remplacement apparent,0.49515176,taux,calcul,pension moyenne ÷ salaire moyen
2009,taux de remplacement apparent,0.47986357,taux,calcul,pension moyenne ÷ salaire moyen
2010,taux de remplacement apparent,0.48663353,taux,calcul,pension moyenne ÷ salaire moyen
2011,taux de remplacement apparent,0.48640007,taux,calcul,pension moyenne ÷ salaire moyen
2012,taux de remplacement apparent,0.44871616,taux,calcul,pension moyenne ÷ salaire moyen
2013,taux de remplacement apparent,0.4248747,taux,calcul,pension moyenne ÷ salaire moyen
2014,taux de remplacement apparent,0.42558488,taux,calcul,pension moyenne ÷ salaire moyen
2015,taux de remplacement apparent,0.43360723,taux,calcul,pension moyenne ÷ salaire moyen
2016,taux de remplacement apparent,0.41236162,taux,calcul,pension moyenne ÷ salaire moyen
2017,taux de remplacement apparent,0.397232,taux,calcul,pension moyenne ÷ salaire moyen
2000,"taux légal de la branche pensions, lecture en points",0.115,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20e lu comme 6.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003) ; pour cette année, aucun document de la caisse lu ne publie le taux : déduit du texte"
2001,"taux légal de la branche pensions, lecture en points",0.115,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20e lu comme 6.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003) ; pour cette année, aucun document de la caisse lu ne publie le taux : déduit du texte"
2002,"taux légal de la branche pensions, lecture en points",0.115,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20e lu comme 6.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003) ; pour cette année, aucun document de la caisse lu ne publie le taux : déduit du texte"
2003,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2004,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2005,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2006,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2007,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2008,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2009,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2010,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2011,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2012,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2013,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2014,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2015,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2016,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2017,"taux légal de la branche pensions, lecture en points",0.125,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20e lu comme 7.25 points + 5,25 % de cotisation propre ; lecture de la caisse (12,5 % publiés depuis 2003)"
2000,"taux légal de la branche pensions, lecture littérale",0.10875,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2001,"taux légal de la branche pensions, lecture littérale",0.10875,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2002,"taux légal de la branche pensions, lecture littérale",0.10875,taux,"décret n° 94-1429 du 30 juin 1994, art. 1er (art. 5 b nouveau) et 2, JORT n° 52 du 5 juillet 1994, p. 1141 (https://www.pist.tn/jort/1994/1994F/Jo05294.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","6.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2003,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2004,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2005,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2006,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2007,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2008,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2009,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
2010,"taux légal de la branche pensions, lecture littérale",0.11775,taux,"décret n° 2003-1212 du 2 juin 2003, art. 1er (art. 5 b nouveau) et 2, JORT n° 46 du 10 juin 2003, p. 1834 (https://www.pist.tn/jort/2003/2003F/Jo0462003.pdf) ; décret n° 97-555 du 31 mars 1997 (art. 9 nouveau), JORT n° 27 du 4 avril 1997, p. 553 (https://www.pist.tn/jort/1997/1997F/Jo02797.pdf) ; loi n° 97-4 du 3 février 1997, art. 41 nouveau de la loi n° 60-30, JORT n° 10 du 4 février 1997, p. 155 (https://www.pist.tn/jort/1997/1997F/Jo01097.pdf)","7.25/20 × 18 % (taux global de la loi n° 60-30 depuis la loi n° 97-4) + 5,25 %"
